cps21_ResponseId,cps21_imp_iss,Q_Language,cps21_imp_iss_tr
R_2eVD21qSw6g70Uj,HOUSING price,EN,HOUSING price
R_2eVDRRJT43wDrmb,Health system,EN,Health system
R_2eVJ05xohIpS7s6,Housing,EN,Housing
R_2eVStvyGXfW5vue,Honestly,EN,Honestly
R_2eVXxDuKpe3Cw2e,R CLIMATIQUE,FR-CA,CLIMATE R
R_2eVZ3YUGmnKzPON,Covid 19,EN,Covid 19
R_2eVffDNLDZR9ICL,Childcare,EN,Childcare
R_2eVkYTiEPOYqibf,Covid,EN,Covid
R_2eWDCR2DvKDUM39,Santé,FR-CA,Health
R_2eWDRYgsaKUiahE,Taxes,EN,Taxes
R_2eWoRnamPfHA04p,Income inequality,EN,Income inequality
R_2eWqfi5GcQ6P54t,La santé,FR-CA,Health
R_2eWrCDyfu2SZt6n,Healthcare,EN,Healthcare
R_2eX2ksQK3UU9XhA,ACHETEUR 1ER MAISON,FR-CA,BUILDING PERSON
R_2eXMkThfVx01NKH,Covid 19 and how it is being handled,EN,Covid 19 and how it is being handled
R_2eXsJbpUN7iDPLZ,Health Care,EN,Health Care
R_2eaF6JYi0dUa1ZD,Economic recovery,EN,Economic recovery
R_2eaGCBMSblSlffC,Poverty and affordable housing,EN,Poverty and affordable housing
R_2ealbSfpHVF6IH0,environnement,FR-CA,environment
R_2eanGwxLkb7QW50,Health,EN,Health
R_2ebAYAFuvHaTD7l,Health care,EN,Health care
R_2ebClcNLWLJwQ6b,To have an accountable government that is for the people and for Canada. Not for nepotism to fill their family and friends pockets,EN,To have an accountable government that is for the people and for Canada. Not for nepotism to fill their family and friends pockets
R_2ebDiKQyE96Dsdd,Taxes,EN,Taxes
R_2ebf0XXQdGNUACr,Environnement,FR-CA,Environment
R_2ebg9NP5gHZHq85,Healthcare,EN,Healthcare
R_2ebghfieaQPZjn9,Healthcare,EN,Healthcare
R_2ebry1LSpyVKKpf,Homelessness,EN,Homelessness
R_2ebwao4bzAuyJRB,covid,EN,covid
R_2f0BR5IAikIAZmK,Health,EN,Health
R_2f0RI4gZfJzKIR7,economy,EN,economy
R_2f0T9pLv1gzKXsR,Individual financial support,EN,Individual financial support
R_2f1i4msSsQmtDOj,Les mensonges de Trudeau,FR-CA,Trudeau's Lies
R_2f21NUdPP7CjpIs,Climate change,EN,Climate change
R_2f27Ia86klZOPdx,Leadership,EN,Leadership
R_2f2MriGcJBgrYG0,Commitment to following the recommendations of the Truth and Reconciliation committee,EN,Commitment to following the recommendations of the Truth and Reconciliation committee
R_2f2NnlujFLiVXGF,healthcare,EN,healthcare
R_2f2QDoccHiKG5Tb,Health care,EN,Health care
R_2f2QLfLxQ5kzz9q,economy,EN,economy
R_2f2ncOUNzDHJ5BX,Freedom of speech and choice,EN,Freedom of speech and choice
R_2f2qixxuGCbZRlw,La région,FR-CA,The region
R_2f2qtxc61ezfJyE,T8A1Z3,EN,T8A1Z3
R_2f382V8pe1T3b4K,economy and who pays for all the spending? rich getting richer others getting left behind,EN,economy and who pays for all the spending? rich getting richer others getting left behind
R_2f3RtLjVpOdktT3,Prendre soin des gens,FR-CA,Taking care of people
R_2f3YJE3VwbJTIUy,Environnement,FR-CA,Environment
R_2f3ZhXmkXr6AOjJ,health care,EN,health care
R_2f3dUlcJdviIDve,The deficit,EN,The deficit
R_2f3ugKUaWNZXHNb,Économie,FR-CA,Economy
R_2f3vy7Ra9FVdtEl,Post pandemic recovery,EN,Post pandemic recovery
R_2f6Wk3AqkfmDoYw,To be rid of Justin Trudeau,EN,To be rid of Justin Trudeau
R_2f6spltLD8vZcNj,The effects of the pandemic on the economy,EN,The effects of the pandemic on the economy
R_2f6sr9HywOZllL4,"Weak leadership and lack of courage, opportunism,",EN,"Weak leadership and lack of courage, opportunism,"
R_2f6zKcMI7uXgG98,"Réussi la sortie de la pandémie et assurer la relance économique et rassembler toutes les personnes dans un objectif commun: le bien de chacun, le. Bien du Canada et le bien du monde",FR-CA,"Successfully exiting the pandemic and ensuring economic recovery and bringing all people together in a common goal: the good of everyone, the good of Canada and the good of the world"
R_2f7CMhtfRiQoaSk,Voting out our criminal PM.,EN,Voting out our criminal PM.
R_2f7DuPORCwMl04F,human rights,EN,human rights
R_2f7GKcjhttXU1Uf,Health,EN,Health
R_2f7IzJP7ICYaIbF,Environment/climate crisis. It's an emergency and needs to be addressed this very second before it gets worse.,EN,Environment/climate crisis. It's an emergency and needs to be addressed this very second before it gets worse.
R_2f7ZVAAs5YGG5le,l'environnement versus l'économie,FR-CA,environment versus the economy
R_2f7m1WBelYVt3v7,Economic recovery,EN,Economic recovery
R_2f841jRm9HvLAPD,health care access for all Canadians,EN,health care access for all Canadians
R_2f8bE1kjfKcOFvL,L’ economie,FR-CA,The economy
R_2f8qi6Ri9Z0L2Sk,Conserver un gouvernement minoritaire,FR-CA,Maintaining a minority government
R_2f9gT31aPpDv9vm,La democratie respectee pour chaque province,FR-CA,Democracy Respects Each Province
R_2f9jsDoXowSfVRC,Income inequality,EN,Income inequality
R_2fAJd8yY5pbWdpL,Not to become a communist country,EN,Not to become a communist country
R_2fAKhoXsIdgJhlD,Taxes,EN,Taxes
R_2fB3Fidm8IKynfz,Lower cost of living,EN,Lower cost of living
R_2fB3HgFPAjMMk7W,Economy,EN,Economy
R_2fBCZdUwxkn3mHa,Handling our recovery from covid,EN,Handling our recovery from covid
R_2fBSZezsRlrCFET,le retour à la normalité,FR-CA,the return to normality
R_2fBUcD790YiPgs2,Covid 19,FR-CA,Covid 19
R_2fBdrGheGZqSXdI,Inequality.,EN,Inequality.
R_2fBgSIgqJiwl8eh,Climate change,EN,Climate change
R_2fBwNtQ939VFc5v,pandémie,FR-CA,pandemic
R_2fCMBoEKtXZPPiw,La santé,FR-CA,Health
R_2fCMOou4NGXa5Ej,environment,EN,environment
R_2fCZkIVlPdvWiR6,womens rights,EN,womens rights
R_2fCbzeiD5GzWH0m,L'économie,FR-CA,The economy
R_2fDJ4NcKwVkK0ii,Covid,FR-CA,Covid
R_2fDoQws7RNhYB7W,Uninterested,EN,Uninterested
R_2fE53531VyWRm4Z,Discrimination,EN,Discrimination
R_2fE7XR4WT6y044M,Country's massive debt,EN,Country's massive debt
R_2fE98BzSsmP71mi,Health,EN,Health
R_2fEgKIkkoYL9qkh,HEALTHCARE,EN,HEALTHCARE
R_2fGJbyhaCewb0Se,Health care,EN,Health care
R_2fGOrj7HxVDEbDA,La santé,FR-CA,Health
R_2fGS2NL5n8NZ7C3,Economy,EN,Economy
R_2fHGvXqF9S2joDv,débarquer justin,FR-CA,landing justin
R_2fHSChTz4KhEcM0,Economy,EN,Economy
R_2fHY5fldqH6DlQE,Rebuild the economy,EN,Rebuild the economy
R_2fHdkxM1kfCNMKS,The environment,EN,The environment
R_2fHdyIwCauxbFaH,housing affordability,EN,housing affordability
R_2fHe13HfSHdlaxn,"Vaccination Passports, Daycare Funding",EN,"Vaccination Passports, Daycare Funding"
R_2fHhE7r9sOd94mQ,économie,FR-CA,economy
R_2fHtnEXn1yifnSQ,Tax,EN,Tax
R_2fHtx86CWznI6aE,A party and premier that cares about us today.,EN,A party and premier that cares about us today.
R_2fI4qr2BylQOYro,Liberal corruption,EN,Liberal corruption
R_2fID5fX5SDjRHxn,the pending disability act,EN,the pending disability act
R_2fIGic98B2SafzL,Représentativité du vote,FR-CA,Representativeness of the vote
R_2fIZl1tTWTzyUXM,"environmental issues, climate emergency,",EN,"environmental issues, climate emergency,"
R_2fIoUbyQnSLHWaG,Covid,FR-CA,Covid
R_2fIqJE7ypiUQluG,Everything is fair and equal,EN,Everything is fair and equal
R_2fJ2839Gd6HqLHc,-99,FR-CA,-99
R_2fJThl6NEEvNdLA,Economic stability,EN,Economic stability
R_2fJTt9ebIO5VcPD,"protection from Covid, it has hit the economy hard,hurt personal income",EN,"protection from Covid, it has hit the economy hard,hurt personal income"
R_2fJa8pqsOABrfqe,La liberté d'expression.,FR-CA,Freedom of expression.
R_2fJvTxCPXx4LdVj,Child care,EN,Child care
R_2fKjmePLO7AlGKT,Removing Trudope,EN,Removing Trudope
R_2fKlhMOsp9jbVOK,Poverty,EN,Poverty
R_2fLucTMPoFMuQlr,Healthcare,EN,Healthcare
R_2fQ7Lkyn1b44GKB,Santé,FR-CA,Health
R_2fTetlKvt1sQty1,La relance economique,FR-CA,Economic recovery
R_2fXqmBSPAW2aXeh,Environnement,FR-CA,Environment
R_2fcBxAdHW3mOiN4,Affordable price for routine,EN,Affordable price for routine
R_2fcCs2kXmKJ72yj,Stop Covid EI benefits,EN,Stop Covid EI benefits
R_2fcIY4X0lTD5fXO,"I am concerned about the lack of accountability related to government spending, and decisions that do not seem to be based on any logic or facts.",EN,"I am concerned about the lack of accountability related to government spending, and decisions that do not seem to be based on any logic or facts."
R_2fcU852qT4K6pTl,le champ de competence des provinces,FR-CA,the jurisdiction of the provinces
R_2fcefOlWzC1fLBD,Arrêter les dépenses excessives de Justin,FR-CA,Stop Justin's excessive spending
R_2fcv4lxT6dcWBUC,Covid,EN,Covid
R_2fd1IPzC68zF3WX,Environment,EN,Environment
R_2fdNW3NWKJ3lbnh,La pauvreté,FR-CA,Poverty
R_2fdhToP5lwihxkE,Economy,EN,Economy
R_2fdjlus4SPOw0Il,Economy,EN,Economy
R_2fe2JoDxUXd0yCM,Éliminer Trudeau,FR-CA,Eliminate Trudeau
R_2feQFf1shSCLR2Z,Expanding universal health care,EN,Expanding universal health care
R_2feRtZrwVwXeE46,Climate,EN,Climate
R_2fegek4so4i6Iyl,la relance économique,FR-CA,economic recovery
R_2fesU0ehBzW2Pen,Immigration,EN,Immigration
R_2fevuhuIhUfO26j,get rid of Trudeau,EN,get rid of Trudeau
R_2fewO9ppJPVXXkp,"équilibre budgétaire,",FR-CA,"budgetary balance,"
R_2ffDSwEJjhYCAFq,Economic Recovery,EN,Economic Recovery
R_2ffH24iEeu2zIIU,cost of living,EN,cost of living
R_2ffVVRPb1AQ9pc6,Government's extreme handling of Covid situation,EN,Government's extreme handling of Covid situation
R_2ffwFNJwCaDgiwN,health care,EN,health care
R_2ffwVj91kL0c3Gq,Environment Climate Change,EN,Environment Climate Change
R_2fiAAHTPhedBiYy,covid,EN,covid
R_2fiWxZdQXcpSk15,Removing Trudeau from power,EN,Removing Trudeau from power
R_2fiYuPcTzeXvfVL,climate change,EN,climate change
R_2fiZDMjFffu7EqG,Fiscal transparency,EN,Fiscal transparency
R_2fj00L09x82lwWV,enviroment,EN,enviroment
R_2fj4pZNTiGH8OhW,Conquering Covid 19,EN,Conquering Covid 19
R_2fjJAdtqc71PKkw,ECONOMY,EN,ECONOMY
R_2fjOOLgpZrIbaMP,"COVID and Health care, Climate change, Youth employment, Poverty among indeginous people",EN,"COVID and Health care, Climate change, Youth employment, Poverty among indeginous people"
R_2fjQxv0vsHZ0g8v,equity,EN,equity
R_2fjkeYnr32jZyEP,Taxes,EN,Taxes
R_2fjnktiuU3HPaF6,Post-COVID economy,EN,Post-COVID economy
R_2fjqmm4TIwgyTVt,Indigenous communities,EN,Indigenous communities
R_2fjsWTNE2EEE50g,Housing,EN,Housing
R_2fk75QfAbhp7CTI,La survie du Canada.   Monétaire. et la Santé,FR-CA,The survival of Canada. Monetary. and Health
R_2fk9pjJ68m879H8,Honesty,EN,Honesty
R_2fkRpvRNrsiALNf,Cost of Living,EN,Cost of Living
R_2fkX8N6XiGagwO5,basic income,EN,basic income
R_2fkXNW67SZB5hye,Why are we having an early election,EN,Why are we having an early election
R_2fkedbJrUvPdDXa,Climat,FR-CA,Climate
R_2flFv2ubMaEg1nD,GETTING RID OF TRUDEAU WHO IS A LIAR ALONG WITH HIS GOVERNMENT - NO SENSE OF ETHICS AND ACCOUNTABILITY AT ALL,EN,GETTING RID OF TRUDEAU WHO IS A LIAR ALONG WITH HIS GOVERNMENT - NO SENSE OF ETHICS AND ACCOUNTABILITY AT ALL
R_2flg4viJ3PYqX3k,Economy and taxes.,EN,Economy and taxes.
R_2fm01RPS8c2H7Yh,Climate,EN,Climate
R_2fm9M4EOIrm0AjK,Health Care and Rent Control,EN,Health Care and Rent Control
R_2fmakvg54BauyMk,Helping seniors with higher pension,EN,Helping seniors with higher pension
R_2foAESr4gyYmWQ8,Seniors,EN,Seniors
R_2foC03zbqaqJD9H,Climate Change,EN,Climate Change
R_2fp3XlhWDoyMsJu,Making it hard for students to vote,EN,Making it hard for students to vote
R_2fp8oWlkwpOE7AU,living wage pension for seniors who have worked all there lives and for the parties to notuse this modey as ther own personal bank,EN,living wage pension for seniors who have worked all there lives and for the parties to notuse this modey as ther own personal bank
R_2fpJhATPYiZ1tVm,L'environnement,FR-CA,Environment
R_2fprS3zaVYqQyXp,economy,EN,economy
R_2fpwdpIxSIK7XYv,Housing,EN,Housing
R_2fpwgKHcGhRYSuG,The growing Canadian debt,EN,The growing Canadian debt
R_2fqb67T2qfxi41A,Climat,FR-CA,Climate
R_2fqdRsHGHbrk5xF,Trudeau must go. He is ruining Canada.,EN,Trudeau must go. He is ruining Canada.
R_2fqgz1jQSWQ5OX7,économique,FR-CA,Economic
R_2fqjlr4BiVzR18t,Affordable living,EN,Affordable living
R_2fquUJV7itYeOUT,Environment and government intrusion,EN,Environment and government intrusion
R_2fr2XsyzErUDShY,Waste of money,EN,Waste of money
R_2freGwKzmgRJL92,Housing prices,EN,Housing prices
R_2frhXfWX3jB3C3w,Covid,EN,Covid
R_2fscFvcrTHLRQ3O,The economy,EN,The economy
R_2fuHuYMK6gjbynM,Economy,EN,Economy
R_2fuMjzZk4wIdYqL,Taxes,EN,Taxes
R_2fv7bMWHKkHq9zV,employment,EN,employment
R_2fvAaZFacK0lt0H,L'immigration,FR-CA,Immigration
R_2fvBKYi9q6we1FH,That the conservatives be kept out of government,EN,That the conservatives be kept out of government
R_2fvNnZruSeX0tt3,Economie,FR-CA,Economy
R_2fvXeroPYYJIiwi,obligé de voter pour le moins pire au lieu de voter pour un parti sensé,FR-CA,forced to vote at least worse instead of voting for a sensible party
R_2fvZ5unApZlYbLK,Racism,EN,Racism
R_2fvZmiZy0TWxwpP,Balance Budget,EN,Balance Budget
R_2fwGO2tijHub2fp,Debt,EN,Debt
R_2fxHyxdQO2KP4Dc,Economy,EN,Economy
R_2fxJG9jgx10V1Wy,Western Alienation,EN,Western Alienation
R_2fxSgyAnOEfquVr,Les dépenses faramineuses de notre gouvernement,FR-CA,Our government's strenuous spending
R_2fxkw76wcaDbuCL,Income inequality,EN,Income inequality
R_2fxnlSlQB5zrfAy,Transfert en santé,FR-CA,Health Transfer
R_2fxuWwibk0rpCqk,jobs,EN,jobs
R_2fzzMEDF7zbGCvn,l’atteinte de l’équilibre budgétaire,FR-CA,the achievement of budgetary balance
R_2gaJg6GzZ3XJwGt,"The issue of continuing to help those in the country, most affected by the economic consequences of the Covid Pandemic.",EN,"The issue of continuing to help those in the country, most affected by the economic consequences of the Covid Pandemic."
R_2gf7xrakXgiR9cJ,Le réchauffement climatique et la diversité,FR-CA,Global warming and diversity
R_2ghKRD6E88DfroZ,Should not have been called.,EN,Should not have been called.
R_2gmfSvBCGjDHsjL,Taxes,EN,Taxes
R_2gwXS8gPJYhmG0F,health care,EN,health care
R_2h1cqrtX6AgUTMR,Santé,FR-CA,Health
R_2hQOANyARjJVbTb,Economy,EN,Economy
R_2hrgSMNEeq03NmN,seniors,EN,seniors
R_2ipdacwpd3zLS25,Global warmimg,EN,Global warmimg
R_2iynQm7lEgShPu9,Poverty,EN,Poverty
R_2l7PdVLpQLCGl5T,climate change,EN,climate change
R_2lAPBq01ZAck58d,Health care,EN,Health care
R_2lBbuMkS8Byk6D7,Pas voter conservateur,FR-CA,Not voting Conservative
R_2lTVRJYFjuKMcdX,Reduce the size and scope of the federal government,EN,Reduce the size and scope of the federal government
R_2laJ1HHHIVgMjKx,Main d'oeuvre,FR-CA,Labour force
R_2laxEYoyPg1oOLT,Economy and covid.,EN,Economy and covid.
R_2lbUmDyaOZ4Pva1,Healthcarw,EN,Healthcarw
R_2lbVjgAqs7XDFtL,Economy recovering from covid,EN,Economy recovering from covid
R_2lr1JT1qZS5OzYt,Health care,EN,Health care
R_2mBVTDfwTymqgpj,The integrity of Canadian sovereignty.,EN,The integrity of Canadian sovereignty.
R_2mJgaNBecaHU1UJ,ethics in government,EN,ethics in government
R_2meTBo28IlUpIaZ,Healthcare,EN,Healthcare
R_2mjmvDpJKQXtDHz,Health Care,EN,Health Care
R_2n6GWgyM5S822ad,Covid 19,EN,Covid 19
R_2nPR4aZWGF1dtNn,Liberal compare au conservateur,FR-CA,Liberal compares to the conservative
R_2nPTEUZzgc7nCWl,Environment,EN,Environment
R_2nokyV07thVyKQ1,HEALTH CARE,EN,HEALTH CARE
R_2nugC6gZPnbBDwJ,L’honnêteté,FR-CA,Honesty
R_2oDTOaJ61EmCDXr,La gestion de la crise de la Covid-19,FR-CA,Managing the Covid-19 crisis
R_2oFh4jXxkG8k1ON,Forget climate change,EN,Forget climate change
R_2oyrSJidEu0DPFL,Ne pas régressé.,FR-CA,Don't regress.
R_2pJF6526Zlqfkwl,Les changements climatiques,FR-CA,Climate change
R_2pJZ6M20gVxCFbx,Economy,EN,Economy
R_2pJen33a3A1M4RT,Environment,EN,Environment
R_2pJiWql5dLLCwrp,Covid procedures and the economy,EN,Covid procedures and the economy
R_2pJlZm8QqY4ZJd5,Homelessness,EN,Homelessness
R_2pK27vfMC0Q4nxI,health care,EN,health care
R_2pKJMAEkbGRlYZn,covid,EN,covid
R_2pKsG73Fr3ETeqb,Climate change,EN,Climate change
R_2pLE7BEOBMMWOM4,the loss of our rights and freedoms in the coercive methods being used to force vaccinations and passes,EN,the loss of our rights and freedoms in the coercive methods being used to force vaccinations and passes
R_2pLdvXJZM4xE4Ei,Covid 19,EN,Covid 19
R_2pLkK37p05on2xu,Aucun... Perte de temps et d'argent,FR-CA,None... waste of time and money
R_2pLkKKJaFK2YeIb,"Réduire l’endettement,et que le 1er ministre du Canada ne se mêle pas des décisions des gouvernements  provinciaux",FR-CA,"Reducing debt,and that the 1st Minister of Canada does not interfere with provincial government decisions"
R_2pLl5ijjtvaRRRF,Health care,EN,Health care
R_2pMCLpCVvWNit8p,Les changements climatiques,FR-CA,Climate change
R_2pMCYWSQpHsnfbm,Covid,FR-CA,Covid
R_2pMCYgHxrM1HntM,That child tax benefits would increase,EN,That child tax benefits would increase
R_2pMGfhnXlt4pyfq,parties living up to there promises,EN,parties living up to there promises
R_2pMOHB9PVtsHTBU,Covid,EN,Covid
R_2pMQI1Ds6naaJSZ,Indigenous Relations,EN,Indigenous Relations
R_2pMoI4uq18WAJ1h,"The environment including global warming, preservation of old growth forests and clean water",EN,"The environment including global warming, preservation of old growth forests and clean water"
R_2pPk0cgnWA8w8LV,Climate Emergency,EN,Climate Emergency
R_2pPrLTI2KwaG8Kz,inflation,EN,inflation
R_2pQSYNnUwKWYHdH,Continue good experienced government,EN,Continue good experienced government
R_2pQYWUC9eBbqW0f,Climate change,EN,Climate change
R_2pQccHMYqBvKfEt,Les droits et libertés des citoyens,FR-CA,Citizens' rights and freedoms
R_2pQwBceiFRbV5eT,Economie,FR-CA,Economy
R_2pRI1qA1oMo4UA9,Climate Change Adaptation,EN,Climate Change Adaptation
R_2pRa5nSQHRZLxk8,Healthcare,EN,Healthcare
R_2pRdjZ6EH1PqYi4,Economic recovery,EN,Economic recovery
R_2pReLEwOEtTlgh4,Healthcare,EN,Healthcare
R_2pRzfwFRziVC3fg,600 million dollars was wasted on this election!!,EN,600 million dollars was wasted on this election!!
R_2pRzk5znd7PFOH3,Taxes,EN,Taxes
R_2pS1lb6vOLOmWjk,"Torn between Equity, Diversity and Inclusion (EDI) and the environment. (Go with the environment seeing as none of the leaders are really invested in EDI)",EN,"Torn between Equity, Diversity and Inclusion (EDI) and the environment. (Go with the environment seeing as none of the leaders are really invested in EDI)"
R_2pSGfH4mqfQhQfi,"Pandémie, vaccination et pas vaccin",FR-CA,"Pandemic, vaccination and no vaccine"
R_2pSMccLwD5UxQbB,système de santé,FR-CA,health system
R_2pSNlt0U71EU6kW,environment,EN,environment
R_2pSirPUjDjl8ixP,l'argent et la dette,FR-CA,money and debt
R_2pSjQn7SxAiMgoX,climate change,EN,climate change
R_2pSlaUB99V0QonZ,JE NE SUIS PAS LES ELECTIONS,FR-CA,I DO NOT FOLLOW THE ELECTIONS
R_2pSoET8Vl0KBUj3,Reducing taxes,EN,Reducing taxes
R_2pVM0hDLVptxihT,equity and equality,EN,equity and equality
R_2pVM3uFBHA99REe,Health,EN,Health
R_2pVRxyZ9JYd8Lys,Affordable places to live,EN,Affordable places to live
R_2pVnc3k4q3Mj055,Finance,FR-CA,Finance
R_2pVsHf7TiBtzVn4,Covid,EN,Covid
R_2pWuNkW3fRu5xtQ,UBI,EN,UBI
R_2pXEkwxXLar8uvf,Plans regarding recovery from COVID-19,EN,Plans regarding recovery from COVID-19
R_2pXHr1jyQNDFPzH,Money,EN,Money
R_2pXmSBdC8qALtog,Job,EN,Job
R_2pXol76H79qDTr7,"learning to live with covid, opening borders and getting back to normal life without masks or vaccine mandates.",EN,"learning to live with covid, opening borders and getting back to normal life without masks or vaccine mandates."
R_2pY142WPR7Pgd8w,Garderie,FR-CA,Childcare
R_2pY2vWGqri51fb5,Health care,EN,Health care
R_2pY3Buo7qu6cVmX,Immigration and affordability,EN,Immigration and affordability
R_2pYKds8ul6vORlH,economy,EN,economy
R_2pYLqySgk5UdnGL,Health care,EN,Health care
R_2pYN55YYczJ7tyS,Dette publique,FR-CA,Public debt
R_2pYaV5tYo2mmjD1,L'environnement,FR-CA,Environment
R_2q1MAJHzpRiLioK,Pandemic,EN,Pandemic
R_2q1VQW2pkFgQ8lE,Pandemic,EN,Pandemic
R_2q1pwxCvcwYACI9,"Getting rid of the despicably corrupt, inept and downright dangerously foolish trudeau",EN,"Getting rid of the despicably corrupt, inept and downright dangerously foolish trudeau"
R_2q2DFdcHBv9URQr,Protection of canadians,EN,Protection of canadians
R_2q2E2WHsjuoqwcU,HEALTHCARE,EN,HEALTHCARE
R_2q3KrXqD5Ojofjm,autonomie provincial,FR-CA,provincial autonomy
R_2q3kawRKzo4uQzD,lower housing costs and free dental and eye coverage for seniors,EN,lower housing costs and free dental and eye coverage for seniors
R_2q3swmzTrLQWjbD,Le respect de la constitution,FR-CA,Respect for the Constitution
R_2q46N9onZEdSFHw,Student loans,EN,Student loans
R_2q48YyyUKer50VF,Le rétablissement de l'économie post pandémie,FR-CA,The recovery of the post-pandemic economy
R_2q4B8o26MpfFftq,Climate change,EN,Climate change
R_2q4YaUCbk8VeGjQ,GET RID OF LIBERALS,EN,GET RID OF LIBERALS
R_2q4YzJhOLdRDXNR,Rebounce of Economy after Covid,EN,Rebounce of Economy after Covid
R_2q4qquieKchmste,TAXES,EN,TAXES
R_2q4wgEjaYwHMfb8,Baisse des impôts pour personnes âgées,FR-CA,Lower taxes for the elderly
R_2q7Vm2eXW8MIS2h,Covid,EN,Covid
R_2q8FYv88DoYae1d,Reducing our current high taxes,EN,Reducing our current high taxes
R_2q8HtOQG6Xe8isR,Housing,EN,Housing
R_2q8JnbBpm7moGk8,Environnment,FR-CA,Environment
R_2q8KRmaDFZRDqF4,que trudeau s en aille,FR-CA,Let him go.
R_2q8YVpNqQCP0Ymo,the weather,EN,the weather
R_2q8hc3yN0mZVWwy,Integrity/anti-corruption,EN,Integrity/anti-corruption
R_2q8iQdpCoX8HKgW,Immigration,EN,Immigration
R_2q8mSdEkwC0Qf0F,Fiscal responsibility,EN,Fiscal responsibility
R_2q911nzRCC0rxSL,Healthcare,EN,Healthcare
R_2q9Iw9RaiW3DqCg,Éducation,FR-CA,Education
R_2q9MHeoyR5qdQ62,The environment,EN,The environment
R_2q9Q5HtaxqgoT8q,Climate change,EN,Climate change
R_2q9SZQtanb9MRBT,Economy,FR-CA,Economy
R_2q9k0g68R6d9USP,Economy,EN,Economy
R_2qBJQiSBZsOzSud,that we be led by elected officials that care for citizens not themselves,EN,that we be led by elected officials that care for citizens not themselves
R_2qBPMVrU0Ygyb9X,Climate change/environment,EN,Climate change/environment
R_2qC0jh7wGsDeFOJ,L’environnement,FR-CA,Environment
R_2qC1qJ7WPkJ7560,housing costs/cost of living,EN,housing costs/cost of living
R_2qC4jM2WNdR3Uej,Corruption,EN,Corruption
R_2qCdtDvaJNxJDzD,covid 19,EN,covid 19
R_2qCoZULNcvgA6m9,Je ne connais pas cela.,FR-CA,I don't know that.
R_2qCpA7xLbZ3DeYh,Economy and environment,EN,Economy and environment
R_2qCrPPTwnFQCvtK,"La santé, l'économie, l'environnement",FR-CA,"Health, the economy, the environment"
R_2qCscaspIkFZz5n,"Pandémie, emploi économie, environnement.",FR-CA,"Pandemic, employment economy, environment."
R_2qCxBVmrOMtCBne,Healthcare,EN,Healthcare
R_2qDC0TNnlOXOQOv,Canada's Deficit Spending,EN,Canada's Deficit Spending
R_2qDIMFbsBlcFcbQ,Healthcare,EN,Healthcare
R_2qDYOnSfTmtk8gA,Get rid of the pandemic,EN,Get rid of the pandemic
R_2qDbnQYRMPGujfe,Dette,FR-CA,Debt
R_2qDbomzFKFlmcDS,Sante,FR-CA,Health
R_2qDvwJqKM4DWZgh,immigration,EN,immigration
R_2qDw6QeTMDGtIII,Vaccines,EN,Vaccines
R_2qDyKj5Nl3PR5cW,govt using politics to manipulate people than helping now a days,EN,govt using politics to manipulate people than helping now a days
R_2qE4DvBgwA3PtPU,Poverty,EN,Poverty
R_2qEFCTYWZ3u3oDV,Les armes à feu,FR-CA,Firearms
R_2qEIV58hIiGEz2j,Na,EN,Na
R_2qELUrXOCatcgVL,The coronavirus pandemic,EN,The coronavirus pandemic
R_2qEO7SFEsgTCl5X,Medicare,EN,Medicare
R_2qEgu8wHbZV49pu,giving more freedom to Canadians,EN,giving more freedom to Canadians
R_2qEpGVYEyeZHTo9,Government Spending,EN,Government Spending
R_2qEqCesrHuUPprH,affordability,EN,affordability
R_2qEu5K4v22C5Lk6,democratie,FR-CA,democracy
R_2qF1tPc2Z0lfL2x,Environmental,EN,Environmental
R_2qF5H2mF37ef3oU,Les conflits sociaux - La mentalité anti-Autorité,FR-CA,Social conflicts - The anti-authority mentality
R_2qF5Zwi6On4KpPG,Économie et la santé et garder mon droit de procession d'armes à feu pour le sportort,FR-CA,Economy and health and keeping my firearms procession right for sportort
R_2qFacnT7Dxp3YNr,"COVID, environment, handling of economic recovery of COVID",EN,"COVID, environment, handling of economic recovery of COVID"
R_2qa3DVUdy5dqZ2J,la pollution,FR-CA,Pollution
R_2qaBWYFAto9YJZ7,La santé,FR-CA,Health
R_2qaDq3UY4voQpPm,Économie,FR-CA,Economy
R_2qaP5avjqHGwieO,Le corona-virus,FR-CA,Coronavirus
R_2qaTF5Q8Cn3JT2k,Logement,EN,Logement
R_2qaZmVYSPiv0591,economy,EN,economy
R_2qaaH28Ec4qB3GE,economy,EN,economy
R_2qagptQMdNeJLBD,Affordable housing,EN,Affordable housing
R_2qawqAl6YXIkKpc,Trudeau veut un gouvernement majoritaire,FR-CA,Trudeau wants a majority government
R_2qaz01iXXSbdyAL,Human Rights,EN,Human Rights
R_2qb0W48U1TWdI2N,Pandemic,EN,Pandemic
R_2qb1bdnxsTufcdz,Défendre les droits de notre province,FR-CA,Defending the rights of our province
R_2qdPmJz93GFQgfz,"Freedom of belief , expression, thought, and all rights",EN,"Freedom of belief , expression, thought, and all rights"
R_2qdR691D2SgVHNR,La Covid,FR-CA,The Covid
R_2qdrQXfahZmTbEb,Economy,EN,Economy
R_2qe29AtruOEDG5v,Climate change,EN,Climate change
R_2qeKUIfgcJK8PhI,Environment,EN,Environment
R_2qecqKgcRsYQK2z,Environnement,FR-CA,Environment
